component,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,valid_sky_fraction,temperature_field,temperature_unit_inference,temperature_scale_applied,raw_temperature_robust_std,mask_field,mask_source_used,self_spectrum_control_residual_fraction,run,family,source_path,control_id,planck_ahead,cptg_ahead,abs_gap_rms_uK,abs_gap_residual_fraction,split,observed_rms_uK,ell_min,ell_max,ell_band,observed_band_rms_uK,smoothing_arcmin,smoothing_label,mask_label,mask_threshold,galactic_cut_deg,galactic_cut_label
SMICA,0.1812299875542017,0.1809925380427071,0.0002374495114946,18.215363166875044,18.19149719886366,0.0238659680113819,0.9834407412808888,0.983484469207755,0.8364308675130209,I_STOKES,K_CMB_to_uK,1000000.0,0.0001069901880492,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,0.1136926558415533,Planck components non-inpainted,component_separation,cptg_planck_component_robustness_v4,SMICA,True,False,0.0238659680113819,0.0002374495114946,,,,,,,,,,,,
SMICA_noSZ,0.1803680295442537,0.180123189454569,0.0002448400896847,18.17438401332738,18.149713245325803,0.0246707680015774,0.9835991937361088,0.9836440599224464,0.8364308675130209,I_STOKES,K_CMB_to_uK,1000000.0,0.0001077394170587,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,0.1142509602257216,Planck components non-inpainted,component_separation,cptg_planck_component_robustness_v4,SMICA_noSZ,True,False,0.0246707680015774,0.0002448400896847,,,,,,,,,,,,
NILC,0.1836436450769505,0.1833974183451082,0.0002462267318423,18.414156153885152,18.389466720784945,0.0246894331002067,0.9829928848281918,0.983038853222165,0.7820383707682291,I_STOKES,K_CMB_to_uK,1000000.0,0.0001074814857095,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,0.1143500766304555,Planck components non-inpainted,component_separation,cptg_planck_component_robustness_v4,NILC,True,False,0.0246894331002067,0.0002462267318423,,,,,,,,,,,,
SEVEM,0.1824824449760934,0.1822720724079705,0.0002103725681229,18.34464358415418,18.323495194879783,0.0211483892743977,0.9832091116723578,0.9832481332909326,0.8378740946451823,I_STOKES,K_CMB_to_uK,1000000.0,0.000110717848067,TMASK,COM_CMB_IQU-sevem_2048_R3.00_full.fits,0.1142330204998412,Planck components non-inpainted,component_separation,cptg_planck_component_robustness_v4,SEVEM,True,False,0.0211483892743977,0.0002103725681229,,,,,,,,,,,,
COMMANDER,0.1797004114378929,0.1794701610104038,0.0002302504274891,18.117551436853358,18.09433738892763,0.0232140479257232,0.9837213844016262,0.9837634173452984,0.8803787231445312,I_STOKES,K_CMB_to_uK,1000000.0,0.0001110641004777,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,0.1153045787783718,Planck components non-inpainted,component_separation,cptg_planck_component_robustness_v4,COMMANDER,True,False,0.0232140479257232,0.0002302504274891,,,,,,,,,,,,
SMICA,0.1836608298159005,0.1833474618947645,0.0003133679211359,18.591696891790956,18.55997515008255,0.0317217417084023,0.9829896742038212,0.9830481718698976,0.9830919901529948,I_STOKES_INP,K_CMB_to_uK,1000000.0,0.000106436147685,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,0.1108631433436153,Planck components inpainted,component_separation_inpainted,cptg_planck_component_robustness_v4_inpainted,SMICA,True,False,0.0317217417084023,0.0003133679211359,,,,,,,,,,,,
SMICA_noSZ,0.18616754859824,0.1858609090422973,0.0003066395559427,18.91406682271245,18.882913159814382,0.0311536628980633,0.9825180119717508,0.9825760644804914,0.9830919901529948,I_STOKES_INP,uK_native_or_already_scaled,1.0,107.0002415576801,TMASKINP,COM_CMB_IQU-smica_2048_R3.00_full.fits,0.1130481162249638,Planck components inpainted,component_separation_inpainted,cptg_planck_component_robustness_v4_inpainted,SMICA_noSZ,True,False,0.0311536628980633,0.0003066395559427,,,,,,,,,,,,
NILC,0.1833455260664301,0.1830956897195927,0.0002498363468373,18.37335852335745,18.34832200967156,0.0250365136858903,0.9830485329175888,0.9830950963188182,0.7820383707682291,I_STOKES_INP,K_CMB_to_uK,1000000.0,0.0001063235246848,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,0.1128948938285059,Planck components inpainted,component_separation_inpainted,cptg_planck_component_robustness_v4_inpainted,NILC,True,False,0.0250365136858903,0.0002498363468373,,,,,,,,,,,,
SEVEM,0.1810433910505433,0.1808450933701602,0.000198297680383,18.299315637524984,18.27927231077076,0.020043326754223,0.9834751092716684,0.983511592307858,0.9608548482259116,I_STOKES_INP,K_CMB_to_uK,1000000.0,0.0001064465441777,TMASKINP,COM_CMB_IQU-sevem_2048_R3.00_full.fits,0.1168432904479419,Planck components inpainted,component_separation_inpainted,cptg_planck_component_robustness_v4_inpainted,SEVEM,True,False,0.020043326754223,0.000198297680383,,,,,,,,,,,,
COMMANDER,0.1791070454553556,0.1788678401905506,0.000239205264805,18.03185717399167,18.007774842895955,0.0240823310957161,0.983829592088108,0.9838731095754002,0.8803787231445312,I_STOKES_INP,K_CMB_to_uK,1000000.0,0.0001066221259368,TMASK,COM_CMB_IQU-commander_2048_R3.00_full.fits,0.1123794993307377,Planck components inpainted,component_separation_inpainted,cptg_planck_component_robustness_v4_inpainted,COMMANDER,True,False,0.0240823310957161,0.000239205264805,,,,,,,,,,,,
